huangluxiaozhu	收工剧组送的花，生日在工作中到来了 南京·鼓楼区 ​​​	[<LusA_Daz>: 还在南大嘛！想看看你～生日快乐[蛋糕]🎊[礼花][气球],<口西木念>: 璐璐生日快乐[蛋糕][蛋糕],<大叔18歲_>: 太美好了[鲜花],<Antoine光寒>: 生日快乐，一切顺利。[蛋糕],<今天東籬回家了嗎>: 生日快乐[鲜花],<一百斤五花肉>: 璐姐生快!!![蛋糕][蛋糕][蛋糕],<宋小源儿么么>: 生日快乐[心][心][心],<SirgelinXX>: 生日快乐[爱你],<孙博文同學>: 璐姐，生日快乐！[蛋糕],<ale_sun>: 生日快乐[鲜花][鲜花][鲜花],<我们的存在-->: 生日快乐lulu,<惠新东街大美牙>: 生日快乐[心][心][心]]
huangluxiaozhu	《蓝色大门》大集合[偷笑]台北家里吃火锅 台湾·台北 ​​​	[<生活没有啥目标的平儿>: 璐璐和小镁，小镁看起来人好好啊 [可怜],<詹璞>: 哇咔咔  我的两个女神出现在一个画面里了,<大叔18歲_>: Lulu第一張的吃相 一定要收藏[阴险][嘻嘻],<骆逢君>: 我璐交友圈实在是广泛的令我一惊,<荞麦chen>: AVA很快会成为被明星抱过最多的小女孩[傻笑][傻笑],<谎蛋派戏剧>: 几年前和邦妮在北京一起跟易导聊过一下午，问易导好。,<o元気o>: 桂纶镁和璐璐姐～诶呦好美呀]
huangluxiaozhu	已经有成都的朋友拿到票了哎，五月天成都演唱会加油，谢谢石头 ​​​	[<喜宝nei_>: 回复 @小葵花立志环游世界七八次 :不会开完就走吧？！,<喜宝nei_>: 回复 @小葵花立志环游世界七八次 :我也是！！！昨天找人问说没查到航班信息！！！不会前几天就到了？,<小葵花立志环游世界七八次>: 回复 @喜宝nei_ :就是查不到 目前问了挺多人都没有相关信息 航班酒店都没有[泪][泪][泪],<喜宝nei_>: 回复 @小葵花立志环游世界七八次 :能查到航班信息吗 我也想来机场[泪][泪],<小葵花立志环游世界七八次>: 谁知道五月天到成都了没吖  我们都在机场等呢[泪],<肉肉姐哟>: 啊 我也好想要[泪],<斯沐___>: 羡慕[泪][泪][泪],<僵尸妹妹115>: 1排39号，马赛克打得太不走心[笑cry][笑cry][笑cry],<大叔18歲_>: 如果可以跟女神lulu一起聽突然好想你 該有多好[嘻嘻][奥特曼][神马],<蒋林>: 回复 @黄璐lulu :哦.....................,<蒋林>: 回复 @黄璐lulu :哦,<如果我们>: 39号 我看到啦[嘘],<就这个范儿_>: 一排，可以坐在阿信腿上了，羡慕,<andyjo>: 马赛克不专业，看到座位号了哈哈哈。,<黄璐lulu>: 回复 @蒋林 :我不去哦，给朋友的,<蒋林>: 我争取把38号拿到。[偷笑],<拜托别射到我脸上算我求你了>: 我的妈啊！石头大哥和你吃饭啊！,<小白糕622>: 39，看到啦！[嘻嘻]]
huangluxiaozhu	很开心《一只黄鸟》入围釜山电影节，之前也去过好几次了[微笑] 台湾·台北 ​​​	[<施美美->: 好喜欢小蛮呀[爱你],<Crowoneship>: oh！yes！！！,<没事儿就看电影>: [赞][赞][赞],<HyeAR_W>: 哇 祝贺祝贺[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]]
huangluxiaozhu	和老妈看电影 台湾·台北 ​​​	[<NATALIE__G>: 真的去看了比海更深求观后感[爱你],<OH-丁格sugarbomb>: 太爱你这更博速度啦[哈哈][爱心],<林西拿>: 我現在也在國賓[眼泪]看釜山行,<晚风吹行舟007>: 电影看起来很好看的样子 看过海街日记 很有夏天的治愈感]
huangluxiaozhu	20岁[偷笑] ​​​	[<捡起丶>: 这是拍盲山之前吗？还有我就想问你拍盲山的时候多大[黑线],<闰土RunToo>: 怎么有点像科学城游泳池的。。。,<黄璐lulu>: 回复 @Zoe小椅子 :没问题呀,<Zoe小椅子>: 这是不是救生员证呀？,<Zoe小椅子>: 我也要游泳的时候仙女救我,<噪音改变世界>: [偷笑][思考],<珥瓦>: 璐姐这是潜水证还是什么证呀～感觉好厉害的样子[爱你],<孔二猪>: [爱你][爱你][爱你]]
huangluxiaozhu	时间过得好快，小Ava一岁啦[呲牙]人生的第一个生日 ​​​	[<高冷到灰起>: 小盆友生日快乐  健康成长哈[爱心]其实也是妈妈的受难日。迟来的祝福[爱你],<C05410>: 生日快乐[爱你],<黄璐lulu>: 回复 @霁Zmm :其实一直在发照片但没人看出来哈哈哈,<英俊的傻白甜>: 小公举真好看[爱你],<霁Zmm>: 一直看你微博呀，去年孕肚藏得真好呀[偷笑],<太阳和好天气>: 祝小公主生日快乐，一家人颜值好高的说[哈哈],<矮润仙儿>: 啊？都结婚生娃了啊？[惊恐],<王永林009>: 幸福的一家人。你老公好帅,<freyCheung>: 啦啦啦 可爱的宝宝 生日快乐 健康成长哦,<老徐不能尽兴>: 可爱可爱生日快乐,<Brother_BB>: 生日快乐么么哒[爱你]想看她一岁一岁长大[爱你],<熊熊爱晗晗>: 生快[心][心][心],<Earliyear>: 好漂亮！[心][心][心],<-誰家娜小誰>: 璐璐 啥时候带着宝贝儿来东北逛一圈 这片热情的白山黑水欢迎你  @黄璐lulu  关键是我可以带你吃锅包肉 我知道哪家最好吃[doge],<ni一个人走>: 卡哇伊[愛你][愛你][愛你],<-誰家娜小誰>: 璐璐 啥时候来东北逛一圈 这片热情的白山黑水欢迎你 最主要的是 我可以带你吃锅包肉 我知道哪家最好吃[doge],<大翅膀_>: @皴染哥  一岁娃娃头发好乖[色],<April艾醬>: ava小可爱生日快乐[爱你],<陪孟瑞王博文到八十岁>: 你老公太帅啦！！！,<鲜于韩蜜>: 一岁？个头看着挺大啊！好幸福[可爱],<susan说阿朱>: 好可爱好漂亮～祝福开开心心！,<志存高远-2012>: 你老公他么走运了，把我喜欢的人都给取走了！！！[生病][生病][生病][生病][生病][生病][生病][生病],<Serendip山上的树>: 小公举生日快乐[微风],<超忆症患者sx>: 回复 @我想私奔和我自己 :太胖了皮皮,<陈亦佳>: 小宝贝生日快乐！,<咩你個小兔子>: 可爱的宝宝生日快乐茁壮成长！,<X小赖>: 时间过的好快呐～～祝小公主快乐幸福成长[兔子][兔子][兔子],<荷塘边的婷儿>: 生日快乐！[鲜花]娃娃才1周，妈妈恢复的真不错,<小猴子宝贝地盘>: 宝贝生日快乐[蛋糕],<北宋mania>: 家里好多vinyl,<心灵的远行13>: 生日快乐，小宝宝[鲜花],<去籽草莓>: 回复 @黄璐lulu :哈哈 谢谢小蛮[爱你],<一只有态度的海蛎子>: 生日快乐 可爱宝贝[爱你],<moua1>: 祝福 太大了长得 像两岁 厉害,<乌妈咪妈咪轰>: [蛋糕]happy,<Ramya-rt>: [蛋糕][蛋糕][蛋糕],<黄璐lulu>: 回复 @我想私奔和我自己 : @鹦鹉厨房,<去籽草莓>: @超忆症患者sx,<zhangyizhua59648>: 宝贝儿生日快乐[爱你],<大萝卜清爽>: 麻麻美！粑粑帅！宝宝Q！蛋糕好浪漫！！,<去籽草莓>: 想知道这叫什么蛋糕？太 可 爱 啦 [蛋糕][蛋糕][蛋糕],<lllwwwenly>: [心][心][心]最幸福的样子]
huangluxiaozhu	明天去南京喽，要不要去小蛮工作过的地方看看[偷笑] ​​​	[<罗夏ATP>: 发廊么[笑cry][笑cry],<心灵的远行13>: 要啊，再来碗鸭血粉丝汤[嘻嘻],<老歪经常干坏事>: 一直在我心里  http://t.cn/RtY8KTc,<眼里要有光->: 推拿结局简直了，想给导演一百个赞！,<黑黑黑黑桃桃三儿>: 我想请女神吃饭，我女]
huangluxiaozhu	七夕节快乐[doge] ​​​	[<LLLWWWGGGGGGG>: 傅圆慧跟你长得挺像,<炸裂的醋坛子>: 快乐哟我的女神[心][心][心],<Perhaps宓>: [doge][doge],<karakarag>: 回复 @郑耒兴阳 :啊，璐璐已经结婚了吗？我才知道，好低调啊,<黄璐lulu>: 回复 @以馬内利-curatoriale : @范玮William,<刘永杭Mars>: 不是大仁哥 他是黄璐的老公啦[哈哈],<口西木念>: 虐狗[doge][doge],<zizi5022>: 大仁哥 我的大仁哥[泪],<特雷稀>: 又被虐狗了[doge],<郑耒兴阳>: 回复 @霍霍kabrao :孩子都会走路了呢,<karakarag>: 璐璐有男朋友了啊,<我永远都爱筱燕秋>: 对我来说又是虐汪节[委屈]]
huangluxiaozhu	一些日常，🌍旋转，静静生活 ​​​	[<黄璐lulu>: 回复 @少女心的老伙计 :生活是最好的艺术,<cugber_feng>: 北冰洋[doge],<不为谁而开的小号>: 呛面馒头北冰洋，这调性我给满分[哈哈] 就喜欢你这样接地气儿的艺术家[挤眼],<黄璐lulu>: 回复 @丫刘大爷 : @倪晨-,<丫刘大爷>: 我特想知道拍照的是谁[哆啦A梦微笑],<-王小仙儿->: 好接地气 莫名的喜欢,<费事儿兜兜>: 过日子嘛，淡淡就好[转发],<诗lotus泪>: [微风][微风]]
huangluxiaozhu	这个成都姑娘，从玉林中学的操场走到戛纳电影节的红毯永远的玉林哈哈哈 ​​​	[<村西边王寡妇>: 想牵着你的手，消失在玉林路的尽头。成都成都。,<从月球出走>: 小马和小蛮[心],<咖布尼>: 回复 @666晓玥 :是的，这是推拿的剧照,<adrunkdrum>: 原来是成都的[可爱],<666晓玥>: 学姐 图1是黄轩吗]
huangluxiaozhu	谢谢朋友们为我过生日，好久没和这么多人一起过生日啦，爱你们，感动😹 北京 ​​​	[<Mayusatoh>: [心][爱你][亲亲]美璐生日快乐～,<你好鹿豆>: 生日快乐啊阿啊女神,<恐高的giraffe>: 生日快乐[心] 新的一年顺顺利利  大发,<气脉>: 回复 @街桃 :[笑cry][笑cry]啊哈 还以为9号[笑cry][笑cry]现在10号了,<气脉>: 回复 @街桃 :生快,<犀牛大哥>: [xkl撒花]生日快乐！,<终于她>: 我看到霍思燕的老公,<用户437928>: 今天还在电视上看到美人！[蛋糕]生日快乐心想事成[爱你],<康基耐德>: 生日快乐巨蟹大美女,<招财猫公煲儿>: 生日快乐！！！我们一个星座的～！祝事业大发！加油你最美,<Bzchichim>: 吕聿来？生日快乐啦~都是四川人~,<哟夕夕Echo>: 璐姐生日快乐，我大巨蟹出的都是气质美女,<阿John>: Happy Birthday LuLu[蛋糕],<俨然路边一株草>: 璐姐生日快乐，永远十八，青春永驻[爱你][爱你],<制片人小喆>: 生日快乐[干杯],<southeastern>: 璐璐生日快乐[害羞][害羞][害羞]新一年更多好作品！！！大发[心]]
